trial	offer	accept	subjID	group
1	3	0	1	LM
2	3	0	1	LM
3	5	0	1	LM
4	4	0	1	LM
5	2	0	1	LM
6	4	0	1	LM
7	3	0	1	LM
8	4	0	1	LM
9	3	0	1	LM
10	4	0	1	LM
11	5	1	1	LM
12	3	0	1	LM
13	5	1	1	LM
14	3	0	1	LM
15	1	0	1	LM
16	2	0	1	LM
17	3	0	1	LM
18	6	1	1	LM
19	2	0	1	LM
20	2	0	1	LM
21	4	1	1	LM
22	3	0	1	LM
23	5	1	1	LM
24	2	0	1	LM
25	4	1	1	LM
26	4	1	1	LM
27	2	0	1	LM
28	6	1	1	LM
29	4	1	1	LM
30	7	1	1	LM
31	9	1	1	LM
32	7	1	1	LM
33	10	1	1	LM
34	7	1	1	LM
35	8	1	1	LM
36	8	1	1	LM
37	11	1	1	LM
38	7	1	1	LM
39	6	1	1	LM
40	6	1	1	LM
41	12	1	1	LM
42	9	1	1	LM
43	5	1	1	LM
44	8	1	1	LM
45	6	1	1	LM
46	7	1	1	LM
47	8	1	1	LM
48	7	1	1	LM
49	8	1	1	LM
50	6	1	1	LM
51	8	1	1	LM
52	7	1	1	LM
53	9	1	1	LM
54	9	1	1	LM
55	8	1	1	LM
56	10	1	1	LM
57	6	1	1	LM
58	10	1	1	LM
59	10	1	1	LM
60	8	1	1	LM
1	3	0	2	LM
2	3	0	2	LM
3	5	0	2	LM
4	4	0	2	LM
5	2	0	2	LM
6	4	0	2	LM
7	3	0	2	LM
8	4	0	2	LM
9	3	0	2	LM
10	4	0	2	LM
11	5	1	2	LM
12	3	0	2	LM
13	5	1	2	LM
14	3	0	2	LM
15	1	0	2	LM
16	2	0	2	LM
17	3	0	2	LM
18	6	1	2	LM
19	2	0	2	LM
20	2	0	2	LM
21	4	0	2	LM
22	3	0	2	LM
23	5	0	2	LM
24	2	0	2	LM
25	4	0	2	LM
26	4	0	2	LM
27	2	0	2	LM
28	6	1	2	LM
29	4	0	2	LM
30	7	1	2	LM
31	9	1	2	LM
32	7	1	2	LM
33	10	1	2	LM
34	7	1	2	LM
35	8	1	2	LM
36	8	1	2	LM
37	11	1	2	LM
38	7	1	2	LM
39	6	1	2	LM
40	6	1	2	LM
41	12	1	2	LM
42	9	1	2	LM
43	5	1	2	LM
44	8	1	2	LM
45	6	1	2	LM
46	7	1	2	LM
47	8	1	2	LM
48	7	1	2	LM
49	8	1	2	LM
50	6	1	2	LM
51	8	1	2	LM
52	7	1	2	LM
53	9	1	2	LM
54	9	1	2	LM
55	8	1	2	LM
56	10	1	2	LM
57	6	1	2	LM
58	10	1	2	LM
59	10	1	2	LM
60	8	1	2	LM
1	3	0	3	LM
2	3	0	3	LM
3	5	1	3	LM
4	4	0	3	LM
5	2	0	3	LM
6	4	0	3	LM
7	3	0	3	LM
8	4	0	3	LM
9	3	0	3	LM
10	4	0	3	LM
11	5	1	3	LM
12	3	0	3	LM
13	5	1	3	LM
14	3	0	3	LM
15	1	0	3	LM
16	2	0	3	LM
17	3	0	3	LM
18	6	1	3	LM
19	2	0	3	LM
20	2	0	3	LM
21	4	0	3	LM
22	3	0	3	LM
23	5	1	3	LM
24	2	0	3	LM
25	4	0	3	LM
26	4	0	3	LM
27	2	0	3	LM
28	6	1	3	LM
29	4	0	3	LM
30	7	1	3	LM
31	9	1	3	LM
32	7	1	3	LM
33	10	1	3	LM
34	7	1	3	LM
35	8	1	3	LM
36	8	1	3	LM
37	11	1	3	LM
38	7	1	3	LM
39	6	1	3	LM
40	6	1	3	LM
41	12	1	3	LM
42	9	1	3	LM
43	5	1	3	LM
44	8	1	3	LM
45	6	1	3	LM
46	7	1	3	LM
47	8	1	3	LM
48	7	1	3	LM
49	8	1	3	LM
50	6	1	3	LM
51	8	1	3	LM
52	7	1	3	LM
53	9	1	3	LM
54	9	1	3	LM
55	8	1	3	LM
56	10	1	3	LM
57	6	1	3	LM
58	10	1	3	LM
59	10	1	3	LM
60	8	1	3	LM
1	3	0	4	LM
2	3	0	4	LM
3	5	1	4	LM
4	4	0	4	LM
5	2	0	4	LM
6	4	0	4	LM
7	3	0	4	LM
8	4	0	4	LM
9	3	0	4	LM
10	4	0	4	LM
11	5	1	4	LM
12	3	0	4	LM
13	5	1	4	LM
14	3	0	4	LM
15	1	0	4	LM
16	2	0	4	LM
17	3	0	4	LM
18	6	1	4	LM
19	2	0	4	LM
20	2	0	4	LM
21	4	0	4	LM
22	3	0	4	LM
23	5	1	4	LM
24	2	0	4	LM
25	4	0	4	LM
26	4	0	4	LM
27	2	0	4	LM
28	6	1	4	LM
29	4	0	4	LM
30	7	1	4	LM
31	9	1	4	LM
32	7	1	4	LM
33	10	1	4	LM
34	7	1	4	LM
35	8	1	4	LM
36	8	1	4	LM
37	11	1	4	LM
38	7	1	4	LM
39	6	1	4	LM
40	6	1	4	LM
41	12	1	4	LM
42	9	1	4	LM
43	5	1	4	LM
44	8	1	4	LM
45	6	0	4	LM
46	7	1	4	LM
47	8	1	4	LM
48	7	1	4	LM
49	8	1	4	LM
50	6	1	4	LM
51	8	1	4	LM
52	7	1	4	LM
53	9	1	4	LM
54	9	1	4	LM
55	8	1	4	LM
56	10	1	4	LM
57	6	1	4	LM
58	10	1	4	LM
59	10	1	4	LM
60	8	1	4	LM
1	3	0	5	LM
2	3	0	5	LM
3	5	1	5	LM
4	4	1	5	LM
5	2	0	5	LM
6	4	0	5	LM
7	3	0	5	LM
8	4	0	5	LM
9	3	0	5	LM
10	4	0	5	LM
11	5	1	5	LM
12	3	0	5	LM
13	5	1	5	LM
14	3	0	5	LM
15	1	0	5	LM
16	2	0	5	LM
17	3	0	5	LM
18	6	1	5	LM
19	2	0	5	LM
20	2	0	5	LM
21	4	0	5	LM
22	3	0	5	LM
23	5	1	5	LM
24	2	0	5	LM
25	4	0	5	LM
26	4	0	5	LM
27	2	0	5	LM
28	6	1	5	LM
29	4	0	5	LM
30	7	1	5	LM
