subjID	opt1hprob	opt2hprob	opt1hval	opt1lval	opt2hval	opt2lval	choice
1	0.9	0.5	-14	-30	30	-43	2
1	0.3	0.3	18	-15	46	36	2
1	0.5	0.5	-26	-44	10	-5	2
1	0.2	0.4	-8	-43	26	17	2
1	0.3	0.3	30	-37	44	24	2
1	0.6	0.2	46	-26	10	-14	1
1	0.8	0.9	48	-49	-12	-30	1
1	0.8	0.1	-8	-16	48	0	2
1	0.2	0.5	27	-30	28	27	2
1	0.1	0.3	-3	-48	2	-34	2
1	0.6	0.4	-30	-39	49	-31	2
1	0.1	0.9	29	-4	8	7	2
1	0.9	0.9	12	-21	27	-13	1
1	0.9	0.1	-1	-39	43	11	2
1	0.5	0.2	22	-18	22	-12	2
1	0.5	0.2	-9	-50	-4	-12	2
1	0.4	0.2	-22	-45	-12	-49	2
1	0.2	0.7	39	-4	19	-36	2
1	0.8	0.3	32	-24	3	-25	1
1	0.7	0.6	41	0	38	31	2
1	0.7	0.4	28	5	43	-4	2
1	0.5	0.3	28	-24	33	-22	1
1	0.6	0.8	23	-15	-7	-35	1
1	0.1	0.2	25	-42	-31	-35	1
1	0.1	0.5	49	-34	3	-9	2
1	0.6	0.5	38	-16	-42	-49	1
1	0.6	0.5	6	-46	21	-3	2
1	0.5	0.9	-18	-50	32	-42	2
1	0.8	0.3	9	4	42	13	2
1	0.3	0.8	41	34	-23	-25	1
1	0.1	0.6	38	30	21	-7	1
1	0.4	0.3	21	-32	-3	-40	1
1	0.8	0.6	43	4	33	-40	1
1	0.2	0.4	2	-4	5	-30	1
1	0.5	0.9	-11	-37	6	-28	2
1	0.8	0.8	31	-4	31	9	2
1	0.2	0.6	33	-26	-4	-44	2
1	0.8	0.3	43	14	49	9	2
1	0.8	0.4	33	20	30	18	2
1	0.8	0.2	19	-35	-5	-41	1
1	0.4	0.8	7	-9	16	-11	2
1	0.1	0.3	-8	-41	34	-35	2
1	0.8	0.5	47	15	8	7	1
1	0.4	0.9	-1	-8	22	-6	2
1	0.8	0.8	16	6	34	-43	1
1	0.5	0.4	22	-44	1	-29	1
1	0.5	0.4	17	-22	-15	-20	1
1	0.6	0.7	14	-33	-3	-14	1
1	0.3	0.6	19	10	-34	-45	1
1	0.4	0.6	30	18	35	28	2
1	0.3	0.4	-4	-5	43	-13	2
1	0.7	0.4	-7	-43	11	0	2
1	0.4	0.7	24	5	14	-47	1
1	0.3	0.7	42	14	22	13	1
1	0.7	0.9	44	8	32	-11	1
1	0.9	0.4	47	36	-36	-41	1
1	0.3	0.9	7	-47	15	-26	2
1	0.9	0.8	4	-39	47	0	2
1	0.6	0.8	48	-8	28	-46	1
1	0.6	0.5	47	35	38	12	2
1	0.9	0.9	35	9	11	-37	1
1	0.4	0.1	30	-16	-29	-40	1
1	0.6	0.7	17	-31	-32	-39	1
1	0.6	0.1	40	32	31	11	1
1	0.1	0.1	-20	-38	49	-17	2
1	0.7	0.6	36	-2	-42	-48	1
1	0.5	0.5	9	-39	-1	-18	2
1	0.6	0.5	46	-48	49	33	2
1	0.6	0.7	-34	-46	49	38	2
1	0.8	0.5	47	39	-5	-44	1
1	0.5	0.9	41	-32	44	-35	2
1	0.8	0.4	50	-41	38	6	1
1	0.8	0.5	14	-24	-30	-43	1
1	0.7	0.7	27	-32	17	-3	2
1	0.6	0.1	48	-4	8	4	1
1	0.6	0.3	10	-10	-22	-30	1
1	0.3	0.7	3	-45	0	-39	2
1	0.5	0.4	41	33	45	12	1
1	0.5	0.1	39	-32	-34	-41	1
1	0.9	0.5	40	33	10	8	1
1	0.2	0.3	-2	-17	-4	-35	1
1	0.6	0.2	25	-13	45	5	1
1	0.2	0.1	10	-7	19	-23	1
1	0.9	0.1	49	-21	29	25	2
1	0.8	0.1	45	19	39	-44	1
1	0.7	0.3	48	40	48	1	1
1	0.8	0.7	37	-37	41	28	2
1	0.3	0.8	26	-20	35	30	2
1	0.2	0.2	0	-17	14	-36	2
1	0.8	0.2	20	-19	-4	-29	1
1	0.5	0.7	-7	-11	-16	-29	2
1	0.8	0.4	48	-27	-1	-39	1
1	0.3	0.9	15	-33	18	-14	2
1	0.6	0.2	-12	-21	-34	-44	1
1	0.5	0.7	26	1	10	-6	1
1	0.9	0.1	35	-48	35	-9	1
1	0.5	0.6	32	1	-4	-5	1
1	0.7	0.7	28	2	42	-19	2
1	0.6	0.6	20	3	42	7	2
1	0.2	0.4	36	-25	16	-28	2
1	0.1	0.4	12	-7	-10	-48	1
1	0.7	0.2	-1	-24	47	-4	2
1	0.3	0.7	-24	-35	33	27	2
1	0.9	0.8	19	-47	23	-43	1
1	0.1	0.7	38	-24	15	2	2
1	0.1	0.4	48	-9	34	-40	1
1	0.7	0.1	32	-35	23	-14	1
1	0.1	0.4	23	4	-15	-34	1
1	0.2	0.8	-9	-13	38	-42	2
1	0.9	0.3	-35	-44	15	-44	1
1	0.4	0.2	4	-8	18	-39	1
1	0.7	0.4	22	17	42	-14	1
1	0.5	0.5	25	-16	-4	-19	2
1	0.8	0.2	41	-24	0	-22	1
1	0.4	0.3	27	22	23	7	1
1	0.1	0.3	17	5	15	-16	1
1	0.8	0.5	-7	-41	49	16	2
1	0.2	0.7	35	3	-6	-36	1
1	0.3	0.6	19	-15	16	14	2
1	0.7	0.3	34	14	22	-27	1
1	0.7	0.3	39	-42	45	43	2
1	0.2	0.5	47	-32	41	-39	2
1	0.8	0.1	20	-4	43	29	2
1	0.4	0.3	42	-3	8	-26	1
1	0.6	0.9	24	2	-27	-44	1
1	0.7	0.4	39	-44	47	16	2
1	0.2	0.9	-2	-14	0	-24	2
1	0.9	0.7	-24	-50	45	27	2
1	0.9	0.4	-22	-35	26	-21	2
1	0.2	0.1	16	11	26	-49	1
1	0.2	0.6	1	-21	32	16	2
1	0.1	0.7	-25	-42	50	-8	2
1	0.7	0.1	-2	-37	-7	-10	1
1	0.9	0.6	-24	-26	-7	-25	1
1	0.8	0.1	33	-35	43	-47	1
1	0.7	0.8	24	-23	49	15	2
1	0.8	0.8	-15	-20	26	16	2
1	0.3	0.4	40	-18	14	-47	2
1	0.1	0.3	23	-17	49	-36	2
1	0.1	0.2	14	-41	17	-36	2
1	0.4	0.7	34	3	-20	-44	1
1	0.5	0.7	-48	-50	38	12	2
1	0.1	0.2	-20	-47	-20	-45	2
1	0.4	0.3	41	-16	13	-27	1
1	0.8	0.4	40	20	29	-12	1
1	0.6	0.1	-9	-15	-6	-46	1
1	0.1	0.1	16	-41	48	-24	2
1	0.9	0.7	7	-50	11	-33	1
1	0.3	0.1	39	-34	7	-19	1
1	0.1	0.5	17	-35	-33	-35	1
1	0.1	0.1	46	38	10	-13	1
1	0.2	0.2	35	-30	7	3	2
1	0.7	0.3	-44	-48	6	5	2
1	0.6	0.8	-33	-36	5	-7	2
1	0.2	0.4	-42	-45	0	-22	2
1	0.9	0.1	-15	-49	-6	-33	1
1	0.4	0.2	46	3	-26	-33	1
1	0.5	0.9	7	-21	7	-9	2
1	0.6	0.9	45	3	37	25	2
1	0.3	0.1	9	1	25	-41	1
1	0.4	0.6	-3	-10	22	15	2
1	0.5	0.1	39	-22	4	-28	1
1	0.2	0.7	4	-35	-12	-14	2
1	0.4	0.4	17	0	24	-49	1
1	0.3	0.7	28	6	19	-18	1
1	0.9	0.7	26	-28	28	-47	1
1	0.9	0.5	37	-34	16	10	1
1	0.8	0.2	0	-47	45	43	2
1	0.1	0.3	44	39	-6	-47	1
1	0.7	0.6	-24	-33	35	1	2
1	0.5	0.1	24	5	23	16	2
1	0.2	0.4	-8	-41	22	-46	2
1	0.3	0.7	16	4	36	35	2
1	0.6	0.1	-11	-26	45	44	2
1	0.7	0.7	-8	-49	48	-48	2
1	0.2	0.4	36	1	3	-29	1
1	0.6	0.4	13	-16	18	-17	1
1	0.9	0.1	43	26	-15	-41	1
1	0.6	0.7	12	-35	43	29	2
1	0.9	0.7	36	1	23	-23	1
1	0.3	0.4	4	-10	28	-26	1
1	0.8	0.1	-19	-46	33	-30	2
1	0.2	0.3	43	-31	50	3	2
1	0.2	0.5	42	-6	1	-40	2
1	0.8	0.5	24	-31	43	33	2
1	0.2	0.1	-20	-47	26	-25	2
1	0.5	0.3	4	-19	50	-48	1
1	0.7	0.7	31	30	-16	-26	1
1	0.2	0.2	42	-7	13	-13	2
1	0.2	0.8	47	-37	25	-23	2
1	0.6	0.6	46	-4	19	-1	1
1	0.2	0.5	22	16	31	8	1
1	0.5	0.8	11	2	-26	-47	1
1	0.4	0.6	-3	-27	4	-47	1
1	0.7	0.3	3	-30	46	4	2
1	0.5	0.2	40	14	50	15	2
1	0.6	0.6	26	-3	23	-42	1
1	0.2	0.4	17	-5	48	38	2
1	0.7	0.1	-41	-50	33	5	2
1	0.3	0.3	36	-3	38	-16	1
1	0.8	0.4	17	-37	7	-11	1
1	0.8	0.4	44	-15	-8	-47	1
1	0.1	0.9	37	10	34	21	2
1	0.8	0.5	-18	-29	5	-16	2
1	0.8	0.7	48	-25	-5	-8	1
1	0.6	0.1	36	-25	36	-37	1
1	0.6	0.6	29	19	8	-19	1
1	0.8	0.9	16	-26	38	-33	2
1	0.4	0.4	9	1	42	8	2
1	0.6	0.3	36	-19	49	43	2
1	0.3	0.9	23	12	-9	-24	1
1	0.5	0.2	-2	-34	-9	-32	1
1	0.9	0.2	-3	-44	42	-3	2
1	0.6	0.9	41	-47	15	-34	1
1	0.1	0.5	38	33	-23	-48	1
1	0.9	0.7	15	-5	23	-19	2
1	0.5	0.7	34	-29	23	19	2
1	0.4	0.1	44	-25	3	-27	1
1	0.4	0.9	26	25	-27	-37	1
1	0.6	0.4	32	-9	31	-18	1
1	0.1	0.5	-22	-29	32	-10	2
1	0.1	0.3	26	10	31	-47	1
1	0.6	0.5	42	-40	42	-41	1
1	0.7	0.9	47	-34	40	-28	1
1	0.8	0.6	-12	-36	20	-16	2
1	0.9	0.6	25	-31	27	10	1
1	0.5	0.6	21	-29	-4	-8	1
1	0.5	0.8	-2	-19	47	41	2
1	0.4	0.7	37	-14	-5	-8	1
1	0.1	0.4	4	-17	-4	-27	2
1	0.5	0.1	0	-49	40	12	2
1	0.2	0.1	-9	-18	17	-49	1
1	0.3	0.3	43	-47	30	-16	2
1	0.8	0.7	39	-3	43	-21	1
1	0.8	0.2	-28	-33	9	-25	2
1	0.5	0.2	24	-50	50	5	2
1	0.2	0.5	33	0	44	-18	2
1	0.9	0.8	34	1	38	36	2
1	0.2	0.7	-22	-36	15	-6	2
1	0.6	0.3	42	16	31	-29	1
1	0.7	0.9	9	-11	49	30	2
1	0.6	0.6	43	-22	32	-22	2
1	0.3	0.4	38	37	41	-39	1
1	0.9	0.2	32	25	42	-33	1
1	0.8	0.3	32	30	48	-30	1
1	0.3	0.7	-4	-30	10	8	2
1	0.7	0.7	-12	-14	-34	-50	1
1	0.9	0.8	42	38	31	-40	1
1	0.4	0.2	4	-43	-8	-11	2
1	0.1	0.5	13	-16	27	10	2
1	0.5	0.4	7	-22	5	-46	1
1	0.3	0.4	45	-31	32	4	2
1	0.8	0.7	38	-26	45	-27	1
1	0.9	0.5	-4	-10	48	-7	2
1	0.6	0.9	20	-43	38	18	2
1	0.9	0.2	-1	-6	34	-44	1
1	0.7	0.2	37	2	49	-2	1
1	0.2	0.6	14	-43	21	-40	2
1	0.5	0.3	22	-16	42	39	2
1	0.7	0.1	-15	-45	16	-4	2
1	0.9	0.6	2	-14	50	-25	2
1	0.1	0.1	-33	-38	9	0	2
1	0.2	0.2	-13	-28	26	-28	2
1	0.9	0.2	35	-38	37	6	1
1	0.7	0.5	-2	-50	39	-27	2
1	0.8	0.3	42	-47	40	-20	1
1	0.4	0.1	9	-9	-10	-46	1
1	0.4	0.9	-27	-28	45	12	2
1	0.2	0.8	23	21	40	-18	2
1	0.8	0.8	9	-49	46	6	2
1	0.7	0.8	-12	-13	-35	-50	1
1	0.4	0.2	37	-8	27	-24	1
1	0.3	0.6	-19	-28	45	-31	2
1	0.4	0.4	-26	-50	-14	-16	2
1	0.6	0.9	18	-9	24	19	2
1	0.2	0.6	17	7	-10	-27	1
1	0.5	0.8	47	-40	15	-33	2
1	0.5	0.1	19	6	46	2	1
1	0.7	0.2	12	-30	27	-8	2
1	0.5	0.9	31	-32	43	-41	2
1	0.4	0.7	-35	-45	-27	-45	2
1	0.2	0.6	45	-13	47	-13	2
1	0.7	0.2	19	-27	-12	-48	1
1	0.9	0.9	26	-31	20	-8	2
1	0.8	0.6	27	24	35	12	1
1	0.4	0.1	22	-20	30	3	2
1	0.5	0.5	16	-31	38	-19	1
1	0.4	0.2	47	44	38	18	1
1	0.7	0.4	8	-39	50	-18	2
1	0.7	0.4	19	-25	33	-41	1
1	0.7	0.9	39	15	23	-42	1
1	0.8	0.4	8	-39	21	-40	1
1	0.2	0.7	5	4	47	13	2
1	0.2	0.5	4	-4	20	-43	1
1	0.5	0.6	-3	-34	48	34	2
1	0.5	0.7	16	-11	34	14	2
1	0.5	0.2	35	-2	27	-44	1
1	0.4	0.6	-9	-35	24	-36	2
1	0.8	0.2	28	-21	30	8	1
1	0.4	0.6	43	-31	13	-33	1
2	0.2	0.2	8	-22	43	35	2
2	0.2	0.6	18	-12	-19	-32	1
2	0.3	0.2	29	-37	28	19	2
2	0.3	0.1	-39	-45	-7	-16	2
2	0.3	0.9	34	12	49	25	2
2	0.9	0.6	43	-25	50	-29	1
2	0.5	0.1	-13	-35	21	-19	2
2	0.2	0.5	22	-12	25	-28	2
2	0.8	0.5	-12	-50	15	8	2
2	0.2	0.5	50	-5	6	-22	1
2	0.7	0.2	33	22	4	-37	1
2	0.1	0.1	3	-47	-15	-25	1
2	0.5	0.9	19	-34	39	-49	2
2	0.8	0.3	29	19	4	-41	1
2	0.9	0.9	26	2	17	5	2
