trial	offer	accept	subjID	group
1	3	0	1	LM
2	5	0	1	LM
3	3	0	1	LM
4	6	1	1	LM
5	6	1	1	LM
6	1	0	1	LM
7	2	0	1	LM
8	3	0	1	LM
9	4	0	1	LM
10	4	0	1	LM
11	2	0	1	LM
12	5	1	1	LM
13	1	0	1	LM
14	3	0	1	LM
15	3	0	1	LM
16	5	1	1	LM
17	3	0	1	LM
18	4	0	1	LM
19	5	1	1	LM
20	5	1	1	LM
21	7	1	1	LM
22	1	0	1	LM
23	3	0	1	LM
24	4	0	1	LM
25	1	0	1	LM
26	4	0	1	LM
27	2	0	1	LM
28	7	1	1	LM
29	1	0	1	LM
30	5	0	1	LM
31	6	1	1	LM
32	9	1	1	LM
33	7	1	1	LM
34	9	1	1	LM
35	10	1	1	LM
36	6	0	1	LM
37	8	1	1	LM
38	7	1	1	LM
39	7	1	1	LM
40	9	1	1	LM
41	8	1	1	LM
42	7	1	1	LM
43	8	1	1	LM
44	9	1	1	LM
45	7	0	1	LM
46	5	0	1	LM
47	7	0	1	LM
48	6	0	1	LM
49	9	1	1	LM
50	6	0	1	LM
51	9	1	1	LM
52	10	1	1	LM
53	8	1	1	LM
54	7	0	1	LM
55	9	1	1	LM
56	7	0	1	LM
57	7	0	1	LM
58	5	0	1	LM
59	10	1	1	LM
60	8	1	1	LM
1	5	0	2	LM
2	4	0	2	LM
3	3	0	2	LM
4	2	0	2	LM
5	3	0	2	LM
6	5	1	2	LM
7	1	0	2	LM
8	5	1	2	LM
9	3	0	2	LM
10	6	1	2	LM
11	3	0	2	LM
12	3	0	2	LM
13	4	1	2	LM
14	5	1	2	LM
15	4	0	2	LM
16	5	1	2	LM
17	5	1	2	LM
18	3	0	2	LM
19	5	1	2	LM
20	7	1	2	LM
21	3	0	2	LM
22	2	0	2	LM
23	6	1	2	LM
24	4	0	2	LM
25	4	0	2	LM
26	3	0	2	LM
27	2	0	2	LM
28	4	0	2	LM
29	6	1	2	LM
30	5	1	2	LM
31	12	1	2	LM
32	11	1	2	LM
33	9	1	2	LM
34	8	1	2	LM
35	9	1	2	LM
36	9	1	2	LM
37	8	1	2	LM
38	8	1	2	LM
39	7	0	2	LM
40	8	1	2	LM
41	7	0	2	LM
42	9	1	2	LM
43	10	1	2	LM
44	8	1	2	LM
45	8	1	2	LM
46	7	0	2	LM
47	9	1	2	LM
48	4	0	2	LM
49	7	0	2	LM
50	8	1	2	LM
51	8	1	2	LM
52	10	1	2	LM
53	6	0	2	LM
54	7	0	2	LM
55	6	0	2	LM
56	9	1	2	LM
57	6	0	2	LM
58	8	1	2	LM
59	5	0	2	LM
60	7	0	2	LM
