subjID	trial	delay_later	amount_later	delay_sooner	amount_sooner	choice
1	1	6	10.5	0	10	1
1	2	170	38.3	0	10	1
1	3	28	13.4	0	10	1
1	4	28	31.4	0	10	1
1	5	85	30.9	0	10	1
1	6	28	21.1	0	10	1
1	7	28	13	0	10	1
1	8	1	21.3	0	10	1
1	9	28	21.1	0	10	1
1	10	15	30.1	0	10	1
1	11	1	10.7	0	10	1
1	12	85	36.1	0	10	1
1	13	15	10.5	0	10	1
1	14	6	16.7	0	10	1
1	15	1	11	0	10	1
1	16	15	14.2	0	10	1
1	17	15	12.5	0	10	1
1	18	15	20.7	0	10	1
1	19	6	11	0	10	0
1	20	28	16.9	0	10	1
1	21	15	30.1	0	10	1
1	22	85	24.4	0	10	1
1	23	170	41.3	0	10	1
1	24	15	14.2	0	10	1
1	25	6	10.5	0	10	1
1	26	170	24.4	0	10	1
1	27	15	49	0	10	1
1	28	170	29.7	0	10	1
1	29	1	11.8	0	10	0
1	30	6	13.2	0	10	0
1	31	85	30.9	0	10	1
1	32	6	44	0	10	1
1	33	6	35.1	0	10	1
1	34	28	15.5	0	10	1
1	35	170	43.3	0	10	1
1	36	170	33.9	0	10	1
1	37	1	11	0	10	1
1	38	1	21.3	0	10	1
1	39	85	45	0	10	1
1	40	15	39.6	0	10	1
1	41	85	10.5	0	10	0
1	42	170	15	0	10	1
1	43	170	49.8	0	10	1
1	44	170	24.4	0	10	1
1	45	28	13.4	0	10	1
1	46	1	31.6	0	10	1
1	47	170	35.6	0	10	1
1	48	1	41.9	0	10	1
1	49	6	17.4	0	10	1
1	50	85	18.4	0	10	1
1	51	85	27.3	0	10	1
1	52	85	26	0	10	1
1	53	170	38.3	0	10	1
1	54	28	21.7	0	10	1
1	55	1	10.7	0	10	1
1	56	170	49.8	0	10	1
1	57	1	11.2	0	10	1
1	58	15	20.7	0	10	1
1	59	6	44	0	10	1
1	60	28	41.1	0	10	1
1	61	28	16.9	0	10	1
1	62	6	14	0	10	1
1	63	1	31.6	0	10	1
1	64	15	18.6	0	10	1
1	65	28	12	0	10	1
1	66	6	13.2	0	10	1
1	67	170	43.3	0	10	1
1	68	28	31.4	0	10	1
1	69	85	19.5	0	10	1
1	70	170	35.6	0	10	1
1	71	85	18.4	0	10	1
1	72	1	12.5	0	10	1
1	73	170	41.3	0	10	1
1	74	170	15	0	10	0
1	75	28	12	0	10	0
1	76	85	36.1	0	10	1
1	77	1	18	0	10	1
1	78	85	10.5	0	10	0
1	79	170	33.9	0	10	1
1	80	6	26.3	0	10	1
1	81	85	45	0	10	1
1	82	28	21.7	0	10	1
1	83	28	13	0	10	0
1	84	85	27.3	0	10	1
1	85	15	18.6	0	10	1
1	86	15	12.5	0	10	1
1	87	6	26.3	0	10	1
1	88	6	11	0	10	1
1	89	15	10.7	0	10	0
1	90	6	16.7	0	10	1
1	91	28	41.1	0	10	1
1	92	85	26	0	10	1
1	93	85	24.4	0	10	1
1	94	1	12.5	0	10	1
1	95	6	17.4	0	10	1
1	96	6	35.1	0	10	1
1	97	6	14	0	10	1
1	98	15	10.5	0	10	0
1	99	1	11.8	0	10	1
1	100	15	10.7	0	10	1
1	101	15	39.6	0	10	1
1	102	85	19.5	0	10	1
1	103	1	11.2	0	10	1
1	104	170	29.7	0	10	1
1	105	15	49	0	10	1
1	106	1	41.9	0	10	1
1	107	1	18	0	10	1
1	108	28	15.5	0	10	1
