"trialNum"	"cue"	"keyPressed"	"success"	"congruentOutcome"	"outcome"	"subjID"
1	4	0	1	1	0	1
2	1	1	1	1	1	1
3	1	1	1	1	1	1
4	2	1	0	2	1	1
5	2	1	0	2	1	1
6	1	1	1	1	1	1
7	3	0	0	1	-1	1
8	1	1	1	1	1	1
9	3	0	0	1	-1	1
10	4	1	0	1	-1	1
11	1	1	1	1	1	1
12	2	1	0	2	1	1
13	3	1	1	1	0	1
14	1	1	1	1	1	1
15	3	1	1	2	-1	1
16	1	1	1	1	1	1
17	4	0	1	1	0	1
18	3	1	1	1	0	1
19	3	1	1	1	0	1
20	1	1	1	1	1	1
21	4	0	1	1	0	1
22	4	0	1	1	0	1
23	4	1	0	1	-1	1
24	4	0	1	2	-1	1
25	2	1	0	1	0	1
26	4	0	1	1	0	1
27	2	1	0	1	0	1
28	4	0	1	1	0	1
29	2	1	0	2	1	1
30	1	1	1	2	0	1
31	2	1	0	2	1	1
32	2	1	0	1	0	1
33	4	1	0	1	-1	1
34	2	1	0	2	1	1
35	2	1	0	1	0	1
36	3	1	1	1	0	1
37	2	1	0	1	0	1
38	3	1	1	2	-1	1
39	4	0	1	2	-1	1
40	3	1	1	1	0	1
41	4	0	1	1	0	1
42	2	1	0	1	0	1
43	3	0	0	1	-1	1
44	2	1	0	1	0	1
45	2	1	0	1	0	1
46	3	1	1	1	0	1
47	1	1	1	1	1	1
48	2	1	0	2	1	1
49	2	1	0	1	0	1
50	3	1	1	1	0	1
51	2	1	0	1	0	1
52	4	0	1	1	0	1
53	1	1	1	1	1	1
54	1	1	1	2	0	1
55	1	1	1	1	1	1
56	1	1	1	1	1	1
57	3	1	1	2	-1	1
58	1	1	1	1	1	1
59	2	1	0	1	0	1
60	4	0	1	1	0	1
61	3	1	1	1	0	1
62	1	0	0	2	1	1
63	2	1	0	1	0	1
64	3	1	1	2	-1	1
65	4	0	1	1	0	1
66	2	1	0	1	0	1
67	4	0	1	1	0	1
68	4	0	1	2	-1	1
69	2	1	0	1	0	1
70	3	0	0	2	0	1
71	2	0	1	1	1	1
72	2	1	0	1	0	1
73	2	0	1	1	1	1
74	2	0	1	1	1	1
75	1	1	1	1	1	1
76	4	0	1	1	0	1
77	4	0	1	1	0	1
78	3	1	1	1	0	1
79	4	0	1	1	0	1
80	1	1	1	2	0	1
81	4	0	1	1	0	1
82	3	1	1	1	0	1
83	2	1	0	1	0	1
84	3	0	0	1	-1	1
85	2	1	0	1	0	1
86	3	1	1	1	0	1
87	1	1	1	1	1	1
88	4	0	1	1	0	1
89	2	0	1	1	1	1
90	3	1	1	2	-1	1
91	3	0	0	1	-1	1
92	4	0	1	2	-1	1
93	3	1	1	1	0	1
94	2	1	0	1	0	1
95	4	0	1	1	0	1
96	1	1	1	1	1	1
97	4	0	1	1	0	1
98	3	1	1	1	0	1
99	1	0	0	1	0	1
100	3	1	1	1	0	1
101	3	0	0	1	-1	1
102	1	1	1	2	0	1
103	2	0	1	1	1	1
104	1	1	1	1	1	1
105	1	1	1	1	1	1
106	3	1	1	1	0	1
107	1	1	1	1	1	1
108	4	0	1	1	0	1
109	1	1	1	1	1	1
110	1	1	1	1	1	1
