RT	choice	subjID	condition
0.238126253704183	1	1	1
0.788334139249308	2	1	1
0.524351202388138	2	1	1
1.30852451859186	1	1	1
0.244177006142252	1	1	1
0.512534281943979	1	1	1
0.570872020376975	2	1	1
0.552056452179357	1	1	1
0.298121361381527	2	1	1
0.323864684737407	1	1	1
0.542476237007045	1	1	1
0.457829931981559	2	1	1
0.214443816443766	1	1	1
0.282641758197282	2	1	1
0.577296397953241	1	1	1
0.80363268095685	2	1	1
0.630866151842371	2	1	1
0.561537877283935	2	1	1
0.447864619700588	1	1	1
0.271079966516117	2	1	1
0.286558308483825	2	1	1
0.402853789793329	2	1	1
0.261247265870358	2	1	1
0.954323974954787	1	1	1
0.233982750292549	2	1	1
0.534509968347321	2	1	1
1.38489463892966	1	1	1
0.51382752398596	2	1	1
0.877226598584423	2	1	1
0.59661096895894	2	1	1
0.653486235884601	2	1	1
0.499754559401486	2	1	1
0.234607668817517	2	1	1
0.531596228343812	2	1	1
0.517067421390557	2	1	1
0.286714432990514	2	1	1
0.280389415416944	1	1	1
0.770848791728697	2	1	1
0.242534242474749	2	1	1
1.21402951161598	1	1	1
0.254230773115822	1	1	1
0.235607609409862	1	1	1
0.893859490775577	2	1	1
0.4248828895841	2	1	1
0.806633683066691	1	1	1
0.52846751057204	2	1	1
0.283404274358359	2	1	1
0.38261147359119	1	1	1
0.366467333270928	2	1	1
0.89906087165271	2	1	1
0.473523175525898	2	1	1
0.61052334774835	2	1	1
0.348877038822898	2	1	1
0.509848343105319	2	1	1
0.714362767211544	2	1	1
0.366653361634071	1	1	1
0.504639516528354	2	1	1
0.789291266027802	1	1	1
0.220496731951155	2	1	1
0.225368494671686	2	1	1
0.935425512110651	1	1	1
0.596093103065834	2	1	1
0.751187828634478	2	1	1
0.398369973292919	2	1	1
0.803192132747886	1	1	1
0.653642313281921	2	1	1
0.759465190620081	2	1	1
0.301158475484036	2	1	1
0.468546635484975	2	1	1
0.45136376067397	2	1	1
0.225730206953994	1	1	1
0.871541732294617	2	1	1
1.02231746439083	2	1	1
0.453015412970327	1	1	1
0.198424664401742	2	1	1
0.300531454438104	2	1	1
0.473723469079576	1	1	1
0.397993417619097	2	1	1
0.990744721453659	2	1	1
0.576175729949669	2	1	1
0.200104343196362	2	1	1
0.397950225292451	2	1	1
0.595871677587168	1	1	1
0.631283245367399	2	1	1
0.225640535433198	2	1	1
0.671278939344137	2	1	1
0.562888330598081	1	1	1
