subjID	gain	loss	choice
102	0	0	2
102	1	0	1
102	0	-1	1
102	1	0	3
102	0	-1	3
102	0	-1	4
102	0	-1	4
102	0	0	2
102	1	0	2
102	0	0	1
102	0	0	1
102	0	0	2
102	0	-1	3
102	0	0	1
102	1	0	1
102	0	0	2
102	0	0	2
102	1	0	1
102	0	0	1
102	0	0	1
102	0	0	1
102	0	-1	2
102	1	0	3
102	0	0	1
102	1	0	3
102	0	-1	3
102	0	0	1
102	0	-1	3
102	0	0	1
102	0	0	1
102	1	0	2
102	0	-1	3
102	0	0	2
102	1	0	1
102	1	0	3
102	0	0	2
102	0	0	1
102	0	-1	3
102	0	0	3
102	0	0	1
102	0	0	2
102	1	-1	3
102	0	0	1
102	0	0	3
102	0	0	1
102	0	-1	3
102	0	0	1
102	0	-1	2
102	0	-1	1
102	0	-1	3
102	0	0	2
102	1	-1	1
102	0	0	2
102	1	0	1
102	0	-1	2
102	0	0	1
102	0	0	1
102	0	0	3
102	1	0	4
102	0	0	1
102	0	0	4
102	0	0	1
102	0	0	2
102	0	0	4
102	0	0	3
102	0	-1	1
102	0	-1	4
102	0	0	2
102	1	-1	3
102	0	-1	2
102	0	-1	3
102	0	0	1
102	0	-1	1
102	1	0	2
102	0	0	2
102	0	0	2
102	0	0	1
102	0	0	1
102	0	-1	2
102	0	0	1
102	1	0	1
102	1	0	1
102	0	0	1
102	0	0	3
102	0	0	1
102	0	0	1
102	0	0	2
102	0	0	2
102	0	-1	1
102	1	0	2
102	0	0	2
102	0	0	2
102	0	0	2
102	0	0	1
102	1	0	2
102	0	0	2
102	0	0	2
102	0	0	1
102	0	0	2
102	0	-1	3
102	0	-1	2
102	0	0	1
102	0	0	1
102	1	0	3
102	0	0	2
102	0	0	3
102	0	0	3
102	0	0	4
102	1	0	2
102	0	-1	2
102	0	0	1
102	1	0	1
102	1	-1	1
102	0	0	2
102	0	-1	2
102	0	0	1
102	0	0	1
102	0	0	3
102	0	0	4
102	0	-1	2
102	0	0	1
102	0	0	4
102	0	-1	3
102	1	0	1
102	0	0	1
102	0	0	1
102	0	0	2
102	0	0	4
102	0	0	4
102	0	-1	3
102	0	0	2
102	0	0	1
102	1	-1	4
102	0	0	2
102	1	0	1
102	0	0	1
102	1	0	2
102	0	-1	2
102	0	0	1
102	0	-1	4
102	0	0	2
102	0	-1	2
102	1	0	1
102	0	0	1
102	1	0	2
102	0	-1	2
102	0	0	1
102	1	0	2
102	1	0	2
102	0	0	2
102	0	0	4
102	0	0	2
102	0	0	1
102	0	-1	2
102	0	0	1
102	0	0	1
102	0	0	3
102	0	-1	4
102	0	0	1
102	0	0	1
102	0	0	2
102	0	0	3
102	0	0	4
102	0	0	2
102	0	0	1
102	0	0	1
102	0	0	2
102	1	0	4
102	0	-1	4
102	0	0	3
102	0	0	3
102	1	0	1
102	0	0	1
102	0	0	2
102	0	0	3
102	0	-1	2
102	0	0	1
102	0	0	1
102	0	0	3
102	0	0	1
102	1	0	1
102	0	-1	1
102	1	0	3
102	1	0	3
102	0	-1	3
102	0	0	4
102	0	0	2
102	1	0	1
102	0	0	1
102	0	0	1
102	0	0	1
102	0	0	1
102	0	-1	2
102	0	0	1
102	0	-1	2
102	0	0	1
102	0	0	1
102	1	0	1
102	0	0	1
102	0	0	3
201	0	0	1
201	0	-1	2
201	0	-1	3
201	0	-1	4
201	0	0	1
201	1	-1	1
201	0	0	4
201	0	0	3
201	0	0	3
201	1	0	1
201	0	0	4
201	0	0	1
201	0	0	2
201	1	-1	3
201	1	0	3
201	1	-1	2
201	1	0	2
201	0	0	4
201	0	0	3
201	0	-1	1
201	0	-1	4
201	0	0	2
201	0	-1	3
201	0	0	2
201	0	0	3
201	0	-1	1
201	1	0	4
201	0	-1	4
201	0	-1	1
201	1	0	2
201	1	-1	3
201	0	0	3
201	1	0	3
201	0	0	2
201	1	0	4
201	0	-1	1
201	0	0	2
201	1	0	3
201	0	0	2
201	0	-1	3
201	0	-1	1
201	0	0	4
201	0	0	3
201	0	-1	2
201	0	0	3
201	0	0	3
201	0	0	3
201	0	0	3
201	1	0	1
201	0	-1	4
201	0	0	1
201	0	0	4
201	1	-1	4
201	0	0	4
201	1	0	1
201	0	-1	2
201	0	-1	2
201	0	0	1
201	0	0	3
201	1	0	3
201	0	-1	2
201	0	0	4
201	0	0	1
201	0	0	4
201	0	0	1
201	0	0	4
201	0	0	2
201	1	-1	3
201	0	-1	3
201	0	0	2
201	1	-1	3
201	1	-1	3
201	0	-1	3
201	1	-1	2
201	0	-1	3
201	1	0	4
201	0	-1	1
201	0	0	4
201	1	0	4
201	0	0	4
201	0	0	4
201	0	0	2
201	0	0	4
201	0	0	2
201	0	0	1
201	0	0	4
201	0	0	3
201	0	0	4
201	1	0	1
201	1	0	1
201	0	-1	2
201	0	0	4
201	1	0	1
201	0	0	4
201	0	0	1
201	0	-1	4
201	0	0	2
201	0	-1	3
201	0	0	1
201	1	-1	4
201	1	0	1
201	0	0	1
201	0	0	4
201	0	0	2
201	0	-1	3
201	1	0	2
201	0	-1	2
201	0	-1	1
201	1	-1	4
201	0	-1	4
201	1	0	1
201	1	0	4
201	0	0	2
201	0	0	4
201	0	-1	3
201	0	0	2
201	1	-1	4
201	1	-1	1
201	0	0	4
201	0	0	1
201	1	0	4
201	0	0	1
201	1	0	1
201	1	0	2
201	1	0	4
201	0	0	3
201	1	0	1
201	0	-1	2
201	0	0	1
201	1	0	4
201	0	0	3
201	0	0	2
201	1	-1	1
201	1	0	4
201	0	0	1
201	0	0	1
201	0	0	1
201	0	0	1
201	0	0	4
201	0	-1	1
201	0	-1	4
201	0	0	2
201	1	0	1
201	0	-1	4
201	0	-1	1
201	0	0	3
201	0	-1	3
201	0	-1	4
201	0	-1	3
201	1	0	2
201	1	0	3
201	0	0	1
201	1	0	2
201	0	0	4
201	0	0	2
201	0	0	1
201	0	-1	3
201	1	0	2
201	0	-1	4
201	0	-1	2
201	1	0	4
201	0	-1	2
201	1	0	3
201	0	0	4
201	0	0	1
201	0	0	4
201	0	-1	2
201	0	-1	3
201	0	0	4
201	0	0	1
201	0	0	4
201	0	0	2
201	0	-1	3
201	0	-1	2
201	0	-1	2
201	1	0	1
201	1	-1	3
201	0	0	2
201	1	0	3
201	1	0	1
201	0	0	3
201	0	0	4
201	0	0	1
201	1	-1	3
201	1	-1	2
201	0	0	3
201	1	0	2
201	0	0	3
201	0	0	4
201	0	0	1
201	0	-1	4
201	0	0	1
201	0	0	3
201	0	0	2
201	0	0	3
201	0	-1	2
201	0	0	2
201	0	0	3
201	0	0	4
201	0	0	4
202	0	0	3
202	0	0	1
202	1	-1	1
202	0	0	3
202	0	0	2
202	0	0	4
202	1	0	1
202	0	0	1
202	0	0	3
202	1	-1	2
202	0	0	2
202	0	0	4
202	0	-1	3
202	1	0	1
202	0	0	4
202	1	0	1
202	0	0	1
202	0	0	2
202	1	-1	3
202	0	0	3
202	0	0	1
202	0	0	4
202	0	0	3
202	0	0	1
202	0	0	2
202	0	0	1
202	0	-1	3
202	0	0	1
202	1	0	4
202	0	-1	1
202	1	0	4
202	0	-1	1
202	0	-1	3
202	0	0	2
202	0	0	4
202	0	0	1
202	0	-1	3
202	0	0	1
202	0	0	2
202	0	0	4
202	0	-1	1
202	1	0	3
202	0	0	1
202	0	0	2
202	0	-1	3
202	0	0	1
202	0	0	2
202	0	0	4
202	0	0	1
202	0	0	3
202	0	0	1
202	0	0	3
202	1	0	2
202	0	0	3
202	0	-1	2
202	0	0	1
202	0	0	4
202	0	0	4
202	0	0	1
202	1	0	3
202	0	0	2
202	0	0	1
202	1	-1	4
202	0	0	1
202	0	-1	4
202	0	-1	2
202	1	-1	3
202	1	0	1
202	0	-1	3
202	0	0	4
202	0	0	2
202	0	0	4
202	0	0	3
202	0	0	2
202	0	-1	1
202	1	0	4
202	1	0	3
202	0	0	1
202	1	-1	4
202	0	-1	3
202	0	0	2
202	0	-1	2
202	0	0	2
202	0	0	3
202	0	0	1
202	1	0	4
202	0	0	4
202	0	0	1
202	0	0	3
202	0	0	2
202	0	0	2
202	1	-1	1
202	0	0	3
202	0	0	4
202	1	0	2
202	0	0	1
202	0	0	4
202	0	0	3
202	0	0	2
202	0	0	2
202	0	0	3
202	0	0	2
202	0	0	4
202	0	0	1
202	0	0	3
202	0	-1	2
202	0	-1	1
202	1	0	4
202	0	-1	3
202	1	0	4
202	1	0	4
202	0	0	4
202	0	-1	1
202	0	0	2
202	0	0	3
202	0	0	3
202	0	0	4
202	1	0	1
202	1	0	1
202	0	-1	2
202	0	0	3
202	0	0	4
202	0	0	2
202	0	-1	1
202	1	0	4
202	1	0	4
202	0	-1	3
202	1	0	4
202	1	-1	4
202	0	0	4
202	0	-1	2
202	0	0	4
202	0	-1	1
202	0	0	3
202	1	0	4
202	0	0	4
202	0	-1	1
202	1	0	4
