subjID	choice	outcome
1	4	33
1	3	84
1	3	88
1	2	36
1	1	67
1	2	28
1	1	74
1	1	76
1	1	79
1	1	84
1	1	82
1	3	87
1	3	85
1	4	48
1	1	79
1	3	76
1	3	73
1	1	75
1	1	71
1	3	61
1	3	60
1	1	72
1	1	66
1	1	61
1	4	42
1	2	41
1	1	57
1	4	32
1	3	67
1	1	57
1	1	58
1	3	71
1	3	66
1	2	41
1	1	70
1	1	73
1	1	74
1	4	45
1	1	72
1	1	73
1	1	70
1	1	66
1	1	69
1	4	42
1	3	58
1	1	68
1	2	53
1	3	58
1	4	50
1	1	73
1	3	65
1	2	44
1	3	64
1	4	44
1	2	41
1	1	61
1	1	56
1	4	44
1	1	51
1	1	55
1	4	47
1	4	48
1	1	59
1	3	55
1	3	44
1	1	59
1	2	25
1	1	59
1	2	31
1	3	45
1	1	58
1	1	56
1	1	58
1	3	51
1	4	52
1	1	55
1	4	56
1	4	55
1	1	54
1	1	50
1	3	58
1	1	53
1	1	51
1	2	31
1	3	58
1	4	55
1	4	55
1	3	59
1	1	50
1	1	54
1	1	53
1	4	52
1	3	57
1	4	60
1	4	60
1	4	58
1	4	60
1	4	55
1	4	56
1	4	59
1	2	36
1	4	59
1	3	48
1	2	41
1	4	62
1	4	62
1	1	44
1	2	48
1	4	66
1	2	53
1	3	56
1	2	56
1	2	61
1	3	49
1	2	58
1	4	68
1	2	54
1	3	49
1	4	70
1	4	69
1	4	73
1	4	77
1	2	54
1	4	70
1	1	49
1	4	69
1	1	50
1	2	63
1	1	55
1	2	57
1	3	53
1	2	57
1	4	85
1	4	85
1	4	88
1	4	82
1	2	62
1	4	75
1	3	61
1	3	61
1	3	62
1	4	77
1	2	66
1	3	59
1	4	74
1	4	79
1	4	79
1	1	73
1	4	76
1	4	76
1	4	78
1	4	77
1	4	78
1	2	66
1	4	80
1	4	74
1	1	69
1	4	69
1	4	73
1	3	70
1	3	67
1	1	69
1	1	71
1	2	79
1	1	68
1	2	82
1	2	84
1	2	86
1	2	84
1	2	82
1	2	84
1	2	85
1	2	82
1	3	76
1	1	62
1	2	85
1	3	74
1	3	70
1	3	69
1	2	86
1	3	60
1	2	89
1	2	86
1	2	81
1	2	80
1	3	64
1	3	67
1	2	86
1	1	56
1	2	91
1	2	91
1	4	55
1	2	87
1	4	52
1	2	85
1	3	63
1	2	92
1	2	90
1	2	90
1	3	56
1	2	89
1	3	60
1	3	60
1	2	88
1	2	84
1	2	86
1	3	53
1	2	81
1	2	82
1	3	63
1	2	78
1	1	57
1	2	80
1	4	48
1	4	44
1	3	61
1	3	64
1	4	40
1	3	67
1	4	39
1	1	60
1	1	59
1	3	68
1	2	73
1	3	70
1	2	70
1	2	70
1	3	77
1	2	74
1	1	62
1	3	82
1	4	29
1	4	29
1	4	34
1	3	73
1	2	71
1	2	67
1	2	61
1	2	60
1	1	76
1	1	70
1	2	60
1	2	57
1	1	71
1	1	69
1	1	67
1	3	58
1	3	55
1	2	50
1	1	62
1	2	52
1	4	47
1	2	54
1	3	50
1	2	53
1	1	66
1	4	51
1	1	65
1	3	50
1	2	50
1	3	51
1	2	47
1	1	60
1	3	52
1	4	47
1	2	32
1	3	56
1	4	46
1	1	63
1	4	43
1	2	24
1	2	27
1	1	63
1	1	61
1	4	40
1	1	65
1	1	69
1	3	70
1	2	25
1	1	71
1	1	73
1	3	62
1	3	69
1	3	65
1	1	72
1	3	63
1	1	75
1	3	68
1	2	28
1	3	61
1	3	64
1	3	63
1	4	36
1	3	58
1	2	35
1	1	64
1	3	67
1	3	68
1	3	66
1	3	64
2	1	62
2	4	34
2	2	36
2	3	88
2	3	91
2	3	97
2	3	94
2	3	94
2	3	93
2	3	93
2	3	88
2	3	87
2	3	85
2	3	85
2	3	81
2	3	76
2	3	73
2	3	65
2	3	64
2	3	61
2	3	60
2	1	72
2	1	66
2	1	61
2	1	62
2	1	61
2	3	62
2	2	43
2	1	56
2	3	68
2	3	68
2	1	62
2	4	41
2	3	64
2	1	70
2	1	73
2	1	74
2	1	74
2	1	72
2	3	59
2	1	70
2	1	66
2	1	69
2	1	69
2	2	46
2	1	68
2	1	70
2	1	70
2	1	72
2	1	73
2	1	70
2	3	61
2	3	64
2	3	64
2	1	66
2	1	61
2	1	56
2	1	53
2	1	51
2	3	58
2	4	47
2	3	60
2	3	57
2	3	55
2	3	44
2	1	59
2	3	44
2	1	59
2	4	50
2	1	59
2	1	58
2	1	56
2	2	20
2	1	59
2	4	52
2	4	55
2	1	53
2	3	61
2	3	58
2	3	57
2	3	58
2	3	56
2	4	57
2	3	58
2	4	57
2	3	58
2	3	59
2	1	51
2	4	61
2	3	54
2	3	50
2	1	47
2	4	57
2	3	62
2	1	49
2	3	61
2	1	46
2	4	55
2	1	42
2	3	55
2	3	53
2	2	39
2	1	43
2	4	57
2	3	50
2	4	62
2	1	44
2	4	63
2	4	66
2	4	71
2	4	71
2	4	67
2	4	66
2	4	69
2	4	72
2	4	68
2	4	70
2	4	71
2	4	70
2	4	69
2	4	73
2	4	77
2	4	72
2	4	70
2	4	68
2	4	69
2	4	72
2	4	75
2	2	58
2	4	80
2	4	81
2	4	84
2	4	85
2	4	85
2	4	88
2	4	82
2	4	80
2	4	75
2	4	73
2	4	75
2	4	76
2	4	77
2	4	77
2	4	77
2	4	74
2	4	79
2	4	79
2	4	79
2	4	76
2	4	76
2	4	78
2	4	77
2	4	78
2	4	76
2	4	80
2	4	74
2	4	72
2	4	69
2	4	73
2	2	76
2	2	76
2	4	68
2	2	78
2	2	79
2	2	82
2	2	82
2	2	84
2	2	86
2	2	84
2	2	82
2	2	84
2	2	85
2	2	82
2	2	84
2	2	84
2	2	85
2	2	88
2	2	90
2	2	87
2	2	86
2	2	86
2	2	89
2	2	86
2	2	81
2	2	80
2	2	77
2	2	81
2	2	86
2	2	85
2	2	91
2	2	91
2	2	87
2	2	87
2	2	83
2	4	51
2	2	91
2	2	92
2	2	90
2	2	90
2	2	91
2	2	89
2	2	88
2	2	90
2	2	88
2	2	84
2	2	86
2	2	81
2	2	81
2	2	82
2	2	81
2	2	78
2	2	78
2	2	80
2	2	80
2	2	80
2	2	81
2	2	78
2	2	80
2	2	78
2	2	76
2	2	78
2	2	74
2	2	73
2	2	73
2	2	73
2	2	70
2	2	70
2	2	74
2	2	74
2	2	76
2	2	74
2	2	75
2	2	73
2	2	73
2	2	69
2	2	71
2	4	32
2	2	61
2	2	60
2	1	76
2	1	70
2	1	72
2	1	69
2	1	71
2	2	52
2	1	67
2	1	63
2	2	49
2	1	63
2	1	62
2	2	52
2	1	56
2	3	52
2	1	60
2	1	62
2	1	66
2	1	67
2	1	65
2	1	63
2	1	60
2	1	61
2	1	59
2	2	45
2	1	62
2	1	64
2	1	64
2	1	63
2	1	63
2	1	63
2	1	63
2	1	63
2	1	64
2	1	63
2	3	68
2	3	68
2	3	69
2	3	69
2	3	70
2	3	67
2	3	64
2	3	60
2	3	62
2	1	73
2	1	73
2	1	72
2	1	73
2	1	75
2	1	72
2	1	72
2	1	67
2	1	64
2	1	65
2	1	65
2	3	58
2	1	63
2	3	57
2	4	27
2	1	65
2	1	62
2	3	64
3	3	85
3	1	60
3	3	88
3	2	36
3	3	91
3	3	97
3	3	94
3	3	94
3	3	93
3	3	93
3	4	37
3	3	87
3	4	46
3	1	82
3	3	81
3	3	76
3	3	73
3	1	75
3	3	64
3	1	71
3	1	70
3	1	72
3	1	66
3	3	67
3	1	62
3	3	68
3	1	57
3	3	61
3	3	67
3	3	68
3	4	37
3	3	71
3	2	37
3	1	65
3	3	68
3	4	41
3	1	74
3	1	74
3	3	64
3	4	48
3	4	43
3	3	56
3	1	69
3	4	42
3	4	44
3	3	59
3	1	70
3	1	70
3	1	72
3	3	64
3	3	65
3	1	67
3	2	45
3	1	65
3	1	66
3	2	38
3	3	67
3	3	65
3	2	29
3	4	48
3	3	62
3	1	57
3	1	59
3	1	57
3	3	44
3	4	55
3	4	51
3	1	59
3	4	50
3	1	59
3	1	58
3	2	22
3	4	50
3	4	53
3	3	51
3	4	55
3	4	56
3	3	61
3	3	58
3	1	50
3	4	52
3	4	53
3	3	55
3	3	58
3	3	58
3	4	55
3	3	59
3	1	51
3	1	50
3	4	61
3	4	56
3	4	52
3	4	57
3	2	31
3	1	49
3	3	61
3	3	57
3	4	55
3	3	58
3	2	32
3	3	53
3	3	51
3	4	60
3	4	57
3	4	62
3	1	47
3	3	47
3	2	48
3	3	53
3	1	38
3	1	41
3	4	67
3	4	66
3	2	58
3	2	58
3	2	55
3	3	49
3	2	53
3	2	54
3	3	51
3	2	52
3	3	48
3	3	45
3	4	70
3	2	55
3	2	59
3	4	72
3	4	75
3	1	55
3	4	80
3	2	61
3	1	64
3	4	85
3	4	85
3	2	60
3	4	82
3	4	80
3	4	75
3	4	73
3	4	75
3	4	76
3	4	77
3	4	77
3	4	77
3	4	74
3	4	79
3	4	79
3	1	73
3	1	72
3	4	76
3	4	78
3	1	66
3	3	68
3	4	76
3	3	68
3	1	65
3	3	68
3	4	69
3	2	78
3	1	72
3	4	69
3	1	69
3	1	71
3	2	79
3	2	82
3	1	68
3	1	69
3	2	86
3	2	84
3	1	62
3	3	64
3	2	85
3	2	82
3	2	84
3	2	84
3	2	85
3	2	88
3	2	90
3	1	60
3	2	86
3	1	53
3	2	89
3	2	86
3	1	62
3	2	80
3	2	77
3	2	81
3	3	67
3	2	85
3	2	91
3	2	91
3	1	52
3	2	87
3	2	83
3	2	85
3	2	91
3	2	92
3	2	90
3	2	90
3	1	47
3	2	89
3	2	88
3	2	90
3	2	88
3	2	84
3	2	86
3	2	81
3	2	81
3	3	59
3	4	49
3	2	78
3	2	78
3	2	80
3	2	80
3	2	80
3	2	81
3	2	78
3	2	80
3	2	78
3	1	60
3	4	35
3	3	68
3	2	73
3	1	64
3	3	70
3	3	72
3	3	75
3	2	74
3	2	74
3	2	76
3	2	74
3	3	79
3	2	73
3	1	69
3	3	73
3	3	69
3	3	67
3	2	61
3	3	66
3	3	63
3	3	62
3	2	60
3	2	57
3	3	66
3	3	63
3	2	52
3	2	51
3	2	49
3	4	45
3	2	46
3	1	61
3	2	49
3	3	52
3	4	52
3	1	62
3	3	47
3	3	49
3	3	51
3	4	48
3	1	60
3	4	50
3	4	53
3	4	52
3	1	62
3	1	64
3	3	52
3	2	26
3	4	46
3	2	31
3	4	43
3	3	67
3	1	64
3	3	65
3	3	68
3	1	62
3	1	65
3	3	69
3	3	70
3	4	46
3	3	64
3	3	60
3	4	45
3	4	45
3	1	73
3	3	65
3	2	25
3	1	75
3	3	68
3	4	40
3	4	37
3	1	64
3	1	65
3	3	63
3	1	66
3	3	57
3	1	64
3	3	67
3	1	65
3	1	62
3	1	56
4	2	38
4	3	84
4	3	88
4	3	88
4	3	91
4	3	97
4	3	94
4	3	94
4	3	93
4	3	93
4	3	88
4	3	87
4	3	85
4	3	85
4	3	81
4	3	76
4	3	73
4	3	65
4	3	64
4	1	71
4	1	70
4	3	61
4	3	68
4	2	31
4	3	69
4	3	68
4	1	57
4	3	61
4	3	67
4	4	33
4	3	68
4	1	62
4	1	63
4	1	65
4	1	70
4	1	73
4	1	74
4	1	74
4	1	72
4	4	48
4	4	43
4	1	66
4	2	48
4	1	69
4	3	58
4	3	59
4	3	59
4	3	58
4	3	62
4	1	73
4	1	70
4	1	67
4	1	67
4	2	43
4	3	65
4	1	61
4	1	56
